fn1,fn2,fn3
2022-06-24,MSU-horticulture-farm-bees-113017,47
2022-06-24,MSU-horticulture-farm-bees-113017,61
2022-06-24,MSU-horticulture-farm-bees-113017,74
2022-06-24,MSU-horticulture-farm-bees-113017,78
2022-06-24,MSU-horticulture-farm-bees-113017,79
2022-06-24,MSU-horticulture-farm-bees-113017,81
2022-06-24,MSU-horticulture-farm-bees-113017,83
2022-06-24,MSU-horticulture-farm-bees-113017,89
2022-06-24,MSU-horticulture-farm-bees-113017,92
2022-06-24,MSU-horticulture-farm-bees-113017,98
2022-06-24,MSU-horticulture-farm-bees-113017,117
2022-06-24,MSU-horticulture-farm-bees-113017,127
2022-06-24,MSU-horticulture-farm-bees-113017,133
2022-06-24,MSU-horticulture-farm-bees-113017,141
2022-06-24,MSU-horticulture-farm-bees-113017,143
2022-06-24,MSU-horticulture-farm-bees-113017,145
2022-06-24,MSU-horticulture-farm-bees-113017,156
2022-06-24,MSU-horticulture-farm-bees-113017,178
2022-06-24,MSU-horticulture-farm-bees-113017,180
2022-06-24,MSU-horticulture-farm-bees-113017,184
2022-06-24,MSU-horticulture-farm-bees-113017,187
2022-06-24,MSU-horticulture-farm-bees-113017,201
2022-06-24,MSU-horticulture-farm-bees-113017,213
2022-06-24,MSU-horticulture-farm-bees-113017,224
2022-06-24,MSU-horticulture-farm-bees-113017,230
2022-06-24,MSU-horticulture-farm-bees-113017,235
2022-06-24,MSU-horticulture-farm-bees-114343,29
2022-06-24,MSU-horticulture-farm-bees-114343,30
2022-06-24,MSU-horticulture-farm-bees-114343,40
2022-06-24,MSU-horticulture-farm-bees-114343,48
2022-06-24,MSU-horticulture-farm-bees-114343,50
2022-06-24,MSU-horticulture-farm-bees-114343,67
2022-06-24,MSU-horticulture-farm-bees-114343,75
2022-06-24,MSU-horticulture-farm-bees-114343,82
2022-06-24,MSU-horticulture-farm-bees-114343,106
2022-06-24,MSU-horticulture-farm-bees-114343,130
2022-06-24,MSU-horticulture-farm-bees-114343,149
2022-06-24,MSU-horticulture-farm-bees-114343,152
2022-06-24,MSU-horticulture-farm-bees-114343,157
2022-06-24,MSU-horticulture-farm-bees-114343,158
2022-06-24,MSU-horticulture-farm-bees-114343,160
2022-06-24,MSU-horticulture-farm-bees-114343,168
2022-06-24,MSU-horticulture-farm-bees-114343,175
2022-06-24,MSU-horticulture-farm-bees-114343,184
2022-06-24,MSU-horticulture-farm-bees-114343,188
2022-06-24,MSU-horticulture-farm-bees-114343,190
2022-06-24,MSU-horticulture-farm-bees-114343,191
2022-06-24,MSU-horticulture-farm-bees-114343,217
2022-06-24,MSU-horticulture-farm-bees-114343,219
2022-06-24,MSU-horticulture-farm-bees-114343,221
2022-06-24,MSU-horticulture-farm-bees-114343,222
2022-06-24,MSU-horticulture-farm-bees-114343,226
2022-06-24,MSU-horticulture-farm-bees-114343,227
2022-06-24,MSU-horticulture-farm-bees-114343,238
2022-06-24,MSU-horticulture-farm-bees-114343,247
2022-06-24,MSU-horticulture-farm-bees-114343,248
2022-06-24,MSU-horticulture-farm-bees-115816,6
2022-06-24,MSU-horticulture-farm-bees-115816,14
2022-06-24,MSU-horticulture-farm-bees-115816,23
2022-06-24,MSU-horticulture-farm-bees-115816,28
2022-06-24,MSU-horticulture-farm-bees-115816,39
2022-06-24,MSU-horticulture-farm-bees-115816,45
2022-06-24,MSU-horticulture-farm-bees-115816,46
2022-06-24,MSU-horticulture-farm-bees-115816,53
2022-06-24,MSU-horticulture-farm-bees-115816,54
2022-06-24,MSU-horticulture-farm-bees-115816,58
2022-06-24,MSU-horticulture-farm-bees-115816,59
2022-06-24,MSU-horticulture-farm-bees-115816,61
2022-06-24,MSU-horticulture-farm-bees-115816,64
2022-06-24,MSU-horticulture-farm-bees-115816,66
2022-06-24,MSU-horticulture-farm-bees-115816,71
2022-06-24,MSU-horticulture-farm-bees-115816,75
2022-06-24,MSU-horticulture-farm-bees-115816,82
2022-06-24,MSU-horticulture-farm-bees-115816,88
2022-06-24,MSU-horticulture-farm-bees-115816,89
2022-06-24,MSU-horticulture-farm-bees-115816,90
2022-06-24,MSU-horticulture-farm-bees-115816,101
2022-06-24,MSU-horticulture-farm-bees-115816,102
2022-06-24,MSU-horticulture-farm-bees-115816,103
2022-06-24,MSU-horticulture-farm-bees-115816,108
2022-06-24,MSU-horticulture-farm-bees-115816,113
